sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
0,A,0,6.0,baseline,6,0,1,6,2499,2499,0,111.21778798406012,111.21778798406012,0.0,0,24,1,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[40, 56, 20, 44, 54, 59, 60, 47, 51, 55]",[],0,0,0,0,0,0,0,0
0,A,0,6.0,nsgrand,6,0,1,6,3999,0,3999,678.8335650053341,0.0,271.1090249940753,1,0,-1,5,0.5523961186408997,0.9208816885948181,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
1,A,0,6.0,baseline,0,1,0,0,0,0,0,0.02994999522343278,0.02994999522343278,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1,A,0,6.0,nsgrand,0,1,0,0,0,0,0,0.013609998859465122,0.013609998859465122,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
2,A,0,6.0,baseline,1,1,0,0,19,19,0,41.65327301598154,41.65327301598154,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[68, 72, 53, 84, 79, 96, 50, 48, 73, 85]",[],0,0,0,0,0,0,0,0
2,A,0,6.0,nsgrand,1,1,0,0,1,1,0,4.864529008045793,0.03804999869316816,0.0,0,18,1,1,0.9931954145431519,0.00014434548211283982,ai,ai_success,standard,[1],"[0, 1, 2]","[73, 72, 68, 84, 96, 79, 48, 85, 64, 65]","[0.00028739889967255294, 0.9979820251464844, 0.0015441980212926865, 2.56178554991493e-05, 1.6421827240264975e-05, 0.00014434548211283982]",1200,4,0,0,0,1,0,0
3,A,0,6.0,baseline,2,1,0,0,3,3,0,42.533847998129204,42.533847998129204,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[99, 96, 106, 75, 1, 118, 111, 104, 91, 103]",[],0,0,0,0,0,0,0,0
3,A,0,6.0,nsgrand,2,1,0,0,1,1,0,2.940381004009396,0.0346289889421314,0.0,0,18,1,2,0.9964197874069214,7.177076440711971e-06,ai,ai_success,standard,[2],"[0, 1, 7]","[96, 99, 106, 75, 71, 103, 104, 101, 118, 117]","[2.375809162913356e-05, 0.0006328413728624582, 0.9544937014579773, 0.04457959532737732, 0.0002628057263791561, 7.177076440711971e-06]",1200,4,0,0,0,1,0,0
4,A,0,6.0,baseline,1,1,0,0,1,1,0,43.9694790111389,43.9694790111389,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[12, 20, 98, 70, 30, 75, 24, 89, 90, 73]",[],0,0,0,0,0,0,0,0
4,A,0,6.0,nsgrand,1,1,0,0,1,1,0,2.525263000279665,0.029638991691172123,0.0,0,18,1,1,0.9975513815879822,8.16715182736516e-05,ai,ai_success,standard,[1],"[0, 1, 2]","[12, 92, 98, 75, 17, 90, 70, 89, 71, 16]","[0.0006127367960289121, 0.9984136819839478, 0.0008623849716968834, 1.6858306480571628e-05, 1.2600028640008532e-05, 8.16715182736516e-05]",1200,4,0,0,0,1,0,0
5,A,0,6.0,baseline,0,1,0,0,0,0,0,0.02020999090746045,0.02020999090746045,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
5,A,0,6.0,nsgrand,0,1,0,0,0,0,0,0.011779979104176164,0.011779979104176164,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
6,A,0,6.0,baseline,1,1,0,0,1,1,0,45.27412002789788,45.27412002789788,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[116, 15, 112, 4, 40, 85, 100, 123, 108, 118]",[],0,0,0,0,0,0,0,0
6,A,0,6.0,nsgrand,1,1,0,0,1,1,0,2.705143007915467,0.032279989682137966,0.0,0,18,1,1,0.9966182112693787,0.00010788119107019156,ai,ai_success,standard,[1],"[0, 1, 2]","[116, 112, 100, 85, 108, 118, 15, 76, 95, 111]","[0.0004315377154853195, 0.9974411725997925, 0.0019691879861056805, 3.313242268632166e-05, 1.713128585834056e-05, 0.00010788119107019156]",1200,4,0,0,0,1,0,0
7,A,0,6.0,baseline,4,1,0,0,279,279,0,47.31180699309334,47.31180699309334,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[75, 97, 71, 78, 100, 88, 70, 85, 99, 84]",[],0,0,0,0,0,0,0,0
7,A,0,6.0,nsgrand,4,1,0,0,1,1,0,11.111208994407207,0.03896999987773597,0.0,0,18,1,4,0.9852943420410156,0.08070357143878937,ai,ai_success,standard,[4],"[0, 1, 2]","[70, 78, 71, 100, 75, 99, 85, 13, 97, 84]","[0.004121587611734867, 7.73006904637441e-05, 0.0004812348051927984, 0.06802085041999817, 0.8465954065322876, 0.08070357143878937]",1200,4,0,0,0,1,0,0
8,A,0,6.0,baseline,4,0,1,4,2499,2499,0,71.77974097430706,71.77974097430706,0.0,0,24,1,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[71, 83, 76, 88, 104, 69, 87, 89, 84, 67]",[],0,0,0,0,0,0,0,0
8,A,0,6.0,nsgrand,4,1,0,0,1,1,0,11.79830398177728,0.049779016990214586,0.0,0,18,1,4,0.939039945602417,0.0967424213886261,ai,ai_success,standard,[4],"[0, 1, 2]","[84, 89, 65, 75, 76, 83, 69, 88, 70, 87]","[0.0005300132324919105, 1.3243180546851363e-05, 0.00017665135965216905, 0.05091027170419693, 0.8516273498535156, 0.0967424213886261]",1200,4,0,0,0,1,0,0
9,A,0,6.0,baseline,1,1,0,0,47,47,0,44.9094130017329,44.9094130017329,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[31, 48, 43, 21, 14, 12, 39, 24, 9, 41]",[],0,0,0,0,0,0,0,0
9,A,0,6.0,nsgrand,1,1,0,0,1,1,0,2.474063978297636,0.029399991035461426,0.0,0,18,1,1,0.954567551612854,0.0005987962358631194,ai,ai_success,standard,[1],"[0, 1, 2]","[126, 43, 48, 22, 12, 49, 31, 16, 9, 118]","[0.0001568301668157801, 0.997706413269043, 0.0014648076612502337, 3.8900532672414556e-05, 3.413509330130182e-05, 0.0005987962358631194]",1200,4,0,0,0,1,0,0
10,A,0,6.0,baseline,0,1,0,0,0,0,0,0.018430000636726618,0.018430000636726618,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
10,A,0,6.0,nsgrand,0,1,0,0,0,0,0,0.011239986633881927,0.011239986633881927,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
