profile,snr_db,policy_action,gate_reason,stage,search_mode,count,bler,avg_queries,avg_elapsed_ms,fallback_rate
A,-4.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,1200,1.0,0.0,2.3767234072632464,0.0
A,-2.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,1200,1.0,0.0,2.5189439312089235,0.0
A,0.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,1184,1.0,0.0,2.495996531325619,0.0
A,0.0,expanded_ai_search,ai_success,ai,expanded_overflow,12,0.3333333333333333,113.0,86.72136417590082,0.0
A,0.0,ai_search,ai_success,ai,standard,3,0.0,7.666666666666667,9.338919694224993,0.0
A,0.0,postsearch_skip_after_expanded_fail,postsearch_skip_after_expanded_fail,skip_after_ai_fail,expanded_overflow,1,1.0,2400.0,115.34888506866992,0.0
A,2.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,743,1.0,0.0,3.3591139869210425,0.0
A,2.0,ai_search,ai_success,ai,standard,235,0.0638297872340425,13.13191489361702,9.016828540157764,0.0
A,2.0,expanded_ai_search,ai_success,ai,expanded_overflow,159,0.10062893081761,75.29559748427673,104.05533842642868,0.0
A,2.0,postsearch_skip_after_expanded_fail,postsearch_skip_after_expanded_fail,skip_after_ai_fail,expanded_overflow,47,1.0,2400.0,117.89170545624926,0.0
A,2.0,postsearch_fallback,postsearch_exhausted,fallback_fail,standard,11,1.0,3582.818181818182,76.16347055458887,1.0
A,2.0,postsearch_fallback,postsearch_exhausted,fallback,standard,4,0.0,610.5,41.0074865212664,1.0
A,2.0,hard_decision,hard_decision,hard_decision,hard_decision,1,0.0,0.0,0.0093900598585605,0.0
A,4.0,ai_search,ai_success,ai,standard,716,0.0083798882681564,3.3435754189944134,6.582871086273717,0.0
A,4.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,244,1.0,0.0,1.7122587658556514,0.0
A,4.0,expanded_ai_search,ai_success,ai,expanded_overflow,95,0.0,18.821052631578947,90.67730429141145,0.0
A,4.0,hard_decision,hard_decision,hard_decision,hard_decision,87,0.0,0.0,0.0100396787640691,0.0
A,4.0,postsearch_skip_after_expanded_fail,postsearch_skip_after_expanded_fail,skip_after_ai_fail,expanded_overflow,23,1.0,2400.0,102.86884991776036,0.0
A,4.0,postsearch_fallback,postsearch_exhausted,fallback_fail,standard,20,1.0,3500.55,69.07343281200156,1.0
A,4.0,postsearch_fallback,postsearch_exhausted,fallback,standard,15,0.0,779.4,40.62413355956475,1.0
A,6.0,ai_search,ai_success,ai,standard,552,0.0018115942028985,1.556159420289855,3.2976516096454547,0.0
A,6.0,hard_decision,hard_decision,hard_decision,hard_decision,460,0.0,0.0,0.0098153675460944,0.0
A,6.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,129,1.0,0.0,10.451962238235414,0.0
A,6.0,expanded_ai_search,ai_success,ai,expanded_overflow,36,0.0277777777777777,15.22222222222222,88.55898061301559,0.0
A,6.0,postsearch_skip_after_expanded_fail,postsearch_skip_after_expanded_fail,skip_after_ai_fail,expanded_overflow,14,1.0,2400.0,101.43863243450012,0.0
A,6.0,postsearch_fallback,postsearch_exhausted,fallback_fail,standard,6,1.0,3460.5,69.78608023685713,1.0
A,6.0,postsearch_fallback,postsearch_exhausted,fallback,standard,3,0.0,503.6666666666667,41.75685035685698,1.0
C,-4.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,1200,1.0,0.0,2.5599085578384497,0.0
C,-2.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,1200,1.0,0.0,2.418342389088745,0.0
C,0.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,1193,1.0,0.0,2.5056757029748624,0.0
C,0.0,expanded_ai_search,ai_success,ai,expanded_overflow,6,0.3333333333333333,418.8333333333333,89.15936554937313,0.0
C,0.0,ai_search,ai_success,ai,standard,1,0.0,1.0,13.06619611568749,0.0
C,2.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,739,1.0,0.0,3.0781575050129377,0.0
C,2.0,ai_search,ai_success,ai,standard,230,0.0695652173913043,13.939130434782609,8.008040636575416,0.0
C,2.0,expanded_ai_search,ai_success,ai,expanded_overflow,156,0.1217948717948717,108.26282051282053,85.06008277599437,0.0
C,2.0,postsearch_skip_after_expanded_fail,postsearch_skip_after_expanded_fail,skip_after_ai_fail,expanded_overflow,49,1.0,2400.0,98.05017303941506,0.0
C,2.0,postsearch_fallback,postsearch_exhausted,fallback_fail,standard,16,1.0,3554.8125,68.36451460549142,1.0
C,2.0,postsearch_fallback,postsearch_exhausted,fallback,standard,8,0.0,1668.25,51.72058896278031,1.0
C,2.0,hard_decision,hard_decision,hard_decision,hard_decision,2,0.0,0.0,0.0098301097750663,0.0
C,4.0,ai_search,ai_success,ai,standard,728,0.0041208791208791,3.2884615384615383,4.653971951843782,0.0
C,4.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,196,1.0,0.0,1.6433111432350564,0.0
C,4.0,hard_decision,hard_decision,hard_decision,hard_decision,119,0.0,0.0,0.0096472203261961,0.0
C,4.0,expanded_ai_search,ai_success,ai,expanded_overflow,98,0.010204081632653,28.846938775510203,86.75120527409398,0.0
C,4.0,postsearch_skip_after_expanded_fail,postsearch_skip_after_expanded_fail,skip_after_ai_fail,expanded_overflow,24,1.0,2400.0,99.17714083955312,0.0
C,4.0,postsearch_fallback,postsearch_exhausted,fallback,standard,19,0.0526315789473684,676.2105263157895,39.78107918642069,1.0
C,4.0,postsearch_fallback,postsearch_exhausted,fallback_fail,standard,16,1.0,3554.8125,146.64496925252024,1.0
C,6.0,ai_search,ai_success,ai,standard,558,0.0,1.8064516129032255,3.651979650574399,0.0
C,6.0,hard_decision,hard_decision,hard_decision,hard_decision,512,0.0,0.0,0.00962253761827,0.0
C,6.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,65,1.0,0.0,19.140845017794238,0.0
C,6.0,expanded_ai_search,ai_success,ai,expanded_overflow,45,0.0,20.266666666666666,89.0059440707167,0.0
C,6.0,postsearch_skip_after_expanded_fail,postsearch_skip_after_expanded_fail,skip_after_ai_fail,expanded_overflow,9,1.0,2400.0,96.0100033165266,0.0
C,6.0,postsearch_fallback,postsearch_exhausted,fallback_fail,standard,6,1.0,3635.0,73.65655654575676,1.0
C,6.0,postsearch_fallback,postsearch_exhausted,fallback,standard,5,0.0,840.0,42.075145384296775,1.0
E,-4.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,1200,1.0,0.0,2.5185656987984357,0.0
E,-2.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,1200,1.0,0.0,2.628024004516192,0.0
E,0.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,1156,1.0,0.0,2.627052917390108,0.0
E,0.0,expanded_ai_search,ai_success,ai,expanded_overflow,26,0.1153846153846153,207.69230769230768,87.22166204825044,0.0
E,0.0,postsearch_skip_after_expanded_fail,postsearch_skip_after_expanded_fail,skip_after_ai_fail,expanded_overflow,11,1.0,2400.0,97.87701900032434,0.0
E,0.0,ai_search,ai_success,ai,standard,6,0.5,12.166666666666666,11.159028159454463,0.0
E,0.0,postsearch_fallback,postsearch_exhausted,fallback_fail,standard,1,1.0,3699.0,73.58468300662935,1.0
E,2.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,508,1.0,0.0,1.6167362213252097,0.0
E,2.0,ai_search,ai_success,ai,standard,351,0.0626780626780626,12.512820512820513,8.224746006066006,0.0
E,2.0,expanded_ai_search,ai_success,ai,expanded_overflow,220,0.1181818181818181,96.49545454545456,88.91305980717085,0.0
E,2.0,postsearch_skip_after_expanded_fail,postsearch_skip_after_expanded_fail,skip_after_ai_fail,expanded_overflow,73,1.0,2400.0,123.12562937835511,0.0
E,2.0,postsearch_fallback,postsearch_exhausted,fallback_fail,standard,36,1.0,3640.8333333333335,71.07320905844163,1.0
E,2.0,postsearch_fallback,postsearch_exhausted,fallback,standard,8,0.0,686.5,42.32388839591295,1.0
E,2.0,hard_decision,hard_decision,hard_decision,hard_decision,4,0.0,0.0,0.0110825058072805,0.0
E,4.0,ai_search,ai_success,ai,standard,906,0.0088300220750551,2.920529801324504,3.9503937435519383,0.0
E,4.0,hard_decision,hard_decision,hard_decision,hard_decision,171,0.0,0.0,0.0098152807777561,0.0
E,4.0,expanded_ai_search,ai_success,ai,expanded_overflow,45,0.0,20.133333333333333,86.91621008846495,0.0
E,4.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,32,1.0,0.0,1.430707605322823,0.0
E,4.0,postsearch_fallback,postsearch_exhausted,fallback,standard,20,0.0,927.6,40.59884583111853,1.0
E,4.0,postsearch_fallback,postsearch_exhausted,fallback_fail,standard,17,1.0,3498.3529411764707,67.93660434949048,1.0
E,4.0,postsearch_skip_after_expanded_fail,postsearch_skip_after_expanded_fail,skip_after_ai_fail,expanded_overflow,9,1.0,2400.0,94.20290004668963,0.0
E,6.0,hard_decision,hard_decision,hard_decision,hard_decision,682,0.0,0.0,0.009521402628912,0.0
E,6.0,ai_search,ai_success,ai,standard,510,0.0,1.192156862745098,2.452876268173842,0.0
E,6.0,postsearch_fallback,postsearch_exhausted,fallback,standard,4,0.0,491.75,39.91832881001756,1.0
E,6.0,presearch_skip_hopeless,presearch_skip_hopeless,skip_hopeless,skip_hopeless,3,1.0,0.0,1.7401468163977067,0.0
E,6.0,expanded_ai_search,ai_success,ai,expanded_overflow,1,0.0,6.0,94.12056114524604,0.0
