sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
0,C,1,-2.0,baseline,17,0,1,17,2499,2499,0,97.93434297898784,97.93434297898784,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[55, 58, 68, 108, 10, 70, 72, 95, 50, 106]",[],0,0,0,0,0,0,0,0
0,C,1,-2.0,nsgrand,17,0,1,17,3999,0,3999,657.3230320063885,0.0,236.32488699513488,1,0,-1,5,0.00032423887751065195,0.9998736381530762,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
1,C,1,-2.0,baseline,20,0,1,20,2499,2499,0,55.41304498910904,55.41304498910904,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[79, 68, 85, 33, 26, 45, 116, 102, 44, 27]",[],0,0,0,0,0,0,0,0
1,C,1,-2.0,nsgrand,20,0,1,20,3999,0,3999,197.75105398730375,0.0,195.8614059840329,1,0,-1,5,0.00016465657972730696,0.9998888969421387,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
2,C,1,-2.0,baseline,15,0,1,15,2499,2499,0,54.08408399671316,54.08408399671316,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[42, 68, 111, 88, 38, 76, 103, 84, 52, 34]",[],0,0,0,0,0,0,0,0
2,C,1,-2.0,nsgrand,15,0,1,15,3999,0,3999,199.01433601626195,0.0,197.25358701543882,1,0,-1,5,0.00029162323335185647,0.9998853206634521,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
3,C,1,-2.0,baseline,24,0,1,24,2499,2499,0,55.40675501106307,55.40675501106307,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[111, 118, 114, 88, 102, 72, 5, 60, 127, 83]",[],0,0,0,0,0,0,0,0
3,C,1,-2.0,nsgrand,24,0,1,24,3999,0,3999,201.40081000863574,0.0,199.60728200385347,1,0,-1,5,0.00028046112856827676,0.9998648166656494,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
4,C,1,-2.0,baseline,17,0,1,17,2499,2499,0,57.50559101579711,57.50559101579711,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[73, 6, 85, 44, 50, 104, 18, 48, 32, 115]",[],0,0,0,0,0,0,0,0
4,C,1,-2.0,nsgrand,17,0,1,17,3999,0,3999,204.67775900033303,0.0,202.76675201603211,1,0,-1,5,0.0002055267250398174,0.9998879432678223,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
