sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,policy_action,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
0,C,1,-2.0,baseline,16,0,1,16,2499,2499,0,102.52132290042937,102.52132290042937,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[61, 108, 27, 22, 45, 41, 50, 4, 62, 95]",[],0,0,0,0,0,0,0,0
0,C,1,-2.0,nsgrand,16,0,1,16,0,0,0,1116.4891270454973,1116.4891270454973,0.0,0,0,-1,5,0.00010075540194520727,0.9999747276306152,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
0,C,1,-2.0,strong_symbolic,16,0,1,16,3999,3999,0,191.85291603207588,191.85291603207588,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[61, 108, 27, 22, 45, 41, 50, 4, 62, 95]",[],0,0,0,0,0,0,0,0
1,C,1,-2.0,baseline,14,0,1,14,2499,2499,0,50.56402715854347,50.56402715854347,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[47, 53, 10, 37, 59, 5, 56, 26, 109, 6]",[],0,0,0,0,0,0,0,0
1,C,1,-2.0,nsgrand,14,0,1,14,0,0,0,1.681966008618474,1.681966008618474,0.0,0,0,-1,5,7.545745756942779e-05,0.9999687671661377,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
1,C,1,-2.0,strong_symbolic,14,0,1,14,3999,3999,0,167.26623196154833,167.26623196154833,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[47, 53, 10, 37, 59, 5, 56, 26, 109, 6]",[],0,0,0,0,0,0,0,0
2,C,1,-2.0,baseline,19,0,1,19,2499,2499,0,50.137481186538935,50.137481186538935,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[118, 53, 48, 100, 89, 36, 78, 26, 116, 8]",[],0,0,0,0,0,0,0,0
2,C,1,-2.0,nsgrand,19,0,1,19,0,0,0,1.2467389460653067,1.2467389460653067,0.0,0,0,-1,5,6.026914343237877e-05,0.999961256980896,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
2,C,1,-2.0,strong_symbolic,19,0,1,19,3999,3999,0,166.49509803391993,166.49509803391993,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[118, 53, 48, 100, 89, 36, 78, 26, 116, 8]",[],0,0,0,0,0,0,0,0
3,C,1,-2.0,baseline,28,0,1,28,2499,2499,0,50.00098189339042,50.00098189339042,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[109, 116, 110, 69, 20, 60, 119, 114, 23, 96]",[],0,0,0,0,0,0,0,0
3,C,1,-2.0,nsgrand,28,0,1,28,0,0,0,1.2103701010346413,1.2103701010346413,0.0,0,0,-1,5,4.150125096202828e-05,0.9999715089797974,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
3,C,1,-2.0,strong_symbolic,28,0,1,28,3999,3999,0,165.98727204836905,165.98727204836905,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[109, 116, 110, 69, 20, 60, 119, 114, 23, 96]",[],0,0,0,0,0,0,0,0
4,C,1,-2.0,baseline,24,0,1,24,2499,2499,0,50.06501101888716,50.06501101888716,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[95, 0, 90, 126, 41, 56, 6, 51, 9, 12]",[],0,0,0,0,0,0,0,0
4,C,1,-2.0,nsgrand,24,0,1,24,0,0,0,1.2095801066607237,1.2095801066607237,0.0,0,0,-1,5,4.0627339330967516e-05,0.9999772310256958,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
4,C,1,-2.0,strong_symbolic,24,0,1,24,3999,3999,0,168.57993113808334,168.57993113808334,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[95, 0, 90, 126, 41, 56, 6, 51, 9, 12]",[],0,0,0,0,0,0,0,0
5,C,1,-2.0,baseline,22,0,1,22,2499,2499,0,50.16026087105274,50.16026087105274,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[85, 69, 23, 49, 83, 2, 64, 86, 3, 43]",[],0,0,0,0,0,0,0,0
5,C,1,-2.0,nsgrand,22,0,1,22,0,0,0,1.2765389401465654,1.2765389401465654,0.0,0,0,-1,5,6.846215546829626e-05,0.9999711513519287,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
5,C,1,-2.0,strong_symbolic,22,0,1,22,3999,3999,0,167.48047014698386,167.48047014698386,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[85, 69, 23, 49, 83, 2, 64, 86, 3, 43]",[],0,0,0,0,0,0,0,0
6,C,1,-2.0,baseline,22,0,1,22,2499,2499,0,50.681926077231765,50.681926077231765,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[68, 44, 7, 66, 82, 0, 25, 28, 19, 55]",[],0,0,0,0,0,0,0,0
6,C,1,-2.0,nsgrand,22,0,1,22,0,0,0,1.5042370650917292,1.5042370650917292,0.0,0,0,-1,5,7.929532148409635e-05,0.999966025352478,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
6,C,1,-2.0,strong_symbolic,22,0,1,22,3999,3999,0,170.29113718308508,170.29113718308508,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[68, 44, 7, 66, 82, 0, 25, 28, 19, 55]",[],0,0,0,0,0,0,0,0
7,C,1,-2.0,baseline,20,0,1,20,2499,2499,0,50.07893196307123,50.07893196307123,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4]",[],"[21, 106, 71, 116, 87, 114, 102, 2, 115, 64]",[],0,0,0,0,0,0,0,0
7,C,1,-2.0,nsgrand,20,0,1,20,0,0,0,1.2389190960675478,1.2389190960675478,0.0,0,0,-1,5,3.893103712471202e-05,0.9999712705612183,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1
